test_ndcg,test_precision,epoch,step,train_loss,validation_ndcg,validation_precision
0.5184000134468079,0.15000000596046448,0,0,,,
,,0,1128,2.1350016593933105,,
,,1,2257,2.1352412700653076,,
,,2,3386,2.1352198123931885,,
,,3,4515,2.135580539703369,,
,,4,5644,2.135305643081665,,
,,5,6773,2.134852886199951,,
,,6,7902,2.134734630584717,,
,,7,9031,2.13495135307312,,
,,8,10160,2.135361433029175,,
,,9,11289,2.13533353805542,,
,,10,12418,2.1348729133605957,,
,,11,13547,2.1345748901367188,,
,,12,14676,2.135279417037964,,
,,13,15805,2.134833574295044,,
,,14,16934,2.1353759765625,,
,,15,18063,2.1349294185638428,,
,,16,19192,2.1347341537475586,,
,,17,20321,2.135228395462036,,
,,18,21450,2.1347405910491943,,
,,19,22579,2.135340929031372,,
,,20,23708,2.134586811065674,,
,,21,24837,2.1354258060455322,,
,,22,25966,2.1351351737976074,,
,,23,27095,2.135166645050049,,
,,24,28224,2.1354446411132812,,
,,25,29353,2.1348485946655273,,
,,26,30482,2.135624885559082,,
,,27,31611,2.1358509063720703,,
,,28,32740,2.1347815990448,,
,,29,33869,2.1351141929626465,,
,,30,34998,2.135010004043579,,
,,31,36127,2.1352295875549316,,
,,32,37256,2.135267496109009,,
,,33,38385,2.1349477767944336,,
,,34,39514,2.1350433826446533,,
,,35,40643,2.135545253753662,,
,,36,41772,2.1352035999298096,,
,,37,42901,2.135106325149536,,
,,38,44030,2.134916067123413,,
,,39,45159,2.134551763534546,,
,,40,46288,2.1350228786468506,,
,,41,47417,2.1350648403167725,,
,,42,48546,2.135227918624878,,
,,43,49675,2.1348280906677246,,
,,44,50804,2.1349852085113525,,
,,45,51933,2.1350181102752686,,
,,46,53062,2.135499954223633,,
,,47,54191,2.1349778175354004,,
,,48,55320,2.1357104778289795,,
,,49,56449,,0.7717437148094177,0.489371120929718
,,49,56449,2.135254144668579,,
,,50,57578,2.1350929737091064,,
,,51,58707,2.1349451541900635,,
,,52,59836,2.134705066680908,,
,,53,60965,2.13506817817688,,
,,54,62094,2.135097026824951,,
,,55,63223,2.135308027267456,,
,,56,64352,2.134671449661255,,
,,57,65481,2.1353135108947754,,
,,58,66610,2.1347756385803223,,
,,59,67739,2.1353940963745117,,
,,60,68868,2.1356818675994873,,
,,61,69997,2.1353838443756104,,
,,62,71126,2.1351022720336914,,
,,63,72255,2.1347672939300537,,
,,64,73384,2.135446548461914,,
,,65,74513,2.1351404190063477,,
,,66,75642,2.1351706981658936,,
,,67,76771,2.134673833847046,,
,,68,77900,2.135082960128784,,
,,69,79029,2.1350767612457275,,
,,70,80158,2.1347837448120117,,
,,71,81287,2.1351447105407715,,
,,72,82416,2.1352460384368896,,
,,73,83545,2.134911060333252,,
,,74,84674,2.1350319385528564,,
,,75,85803,2.134816884994507,,
,,76,86932,2.1352572441101074,,
,,77,88061,2.134753942489624,,
,,78,89190,2.1355340480804443,,
,,79,90319,2.1352546215057373,,
,,80,91448,2.134784460067749,,
,,81,92577,2.1346652507781982,,
,,82,93706,2.135671854019165,,
,,83,94835,2.1353278160095215,,
,,84,95964,2.135550022125244,,
,,85,97093,2.1345372200012207,,
,,86,98222,2.135406255722046,,
,,87,99351,2.1354002952575684,,
,,88,100480,2.1349942684173584,,
,,89,101609,2.1351068019866943,,
,,90,102738,2.13517689704895,,
,,91,103867,2.1348884105682373,,
,,92,104996,2.1352345943450928,,
,,93,106125,2.1349806785583496,,
,,94,107254,2.134601593017578,,
,,95,108383,2.1352546215057373,,
,,96,109512,2.1352643966674805,,
,,97,110641,2.1349716186523438,,
,,98,111770,2.1351263523101807,,
,,99,112899,,0.7717437148094177,0.489371120929718
,,99,112899,2.135179042816162,,
,,100,114028,2.1356043815612793,,
,,101,115157,2.135004758834839,,
,,102,116286,2.135509490966797,,
,,103,117415,2.1347270011901855,,
,,104,118544,2.1347384452819824,,
,,105,119673,2.135253667831421,,
,,106,120802,2.135103940963745,,
,,107,121931,2.1352179050445557,,
,,108,123060,2.135080337524414,,
,,109,124189,2.135680675506592,,
,,110,125318,2.135089874267578,,
,,111,126447,2.135072708129883,,
,,112,127576,2.1349987983703613,,
,,113,128705,2.1350975036621094,,
,,114,129834,2.1352486610412598,,
,,115,130963,2.1347951889038086,,
,,116,132092,2.135018825531006,,
,,117,133221,2.1348958015441895,,
