test_ndcg,test_precision,epoch,step,train_loss,validation_ndcg,validation_precision
0.3985646069049835,0.03849557414650917,0,0,,,
,,0,1128,0.6717758178710938,,
,,1,2257,0.670377254486084,,
,,2,3386,0.6700851917266846,,
,,3,4515,0.6700068116188049,,
,,4,5644,0.6698231101036072,,
,,5,6773,0.6697876453399658,,
,,6,7902,0.6697201132774353,,
,,7,9031,0.6698611378669739,,
,,8,10160,0.6697116494178772,,
,,9,11289,0.6693897247314453,,
,,10,12418,0.6673249006271362,,
,,11,13547,0.6671837568283081,,
,,12,14676,0.6668483018875122,,
,,13,15805,0.6667177677154541,,
,,14,16934,0.6665894389152527,,
,,15,18063,0.6665413975715637,,
,,16,19192,0.6666879057884216,,
,,17,20321,0.6664164066314697,,
,,18,21450,0.6663632392883301,,
,,19,22579,0.6663269996643066,,
,,20,23708,0.6663346290588379,,
,,21,24837,0.6661329865455627,,
,,22,25966,0.6660065650939941,,
,,23,27095,0.6662931442260742,,
,,24,28224,0.6662312746047974,,
,,25,29353,0.666045606136322,,
,,26,30482,0.6663200259208679,,
,,27,31611,0.6660921573638916,,
,,28,32740,0.6659495830535889,,
,,29,33869,0.6659280061721802,,
,,30,34998,0.6660724878311157,,
,,31,36127,0.6659049987792969,,
,,32,37256,0.6658003330230713,,
,,33,38385,0.6657530665397644,,
,,34,39514,0.6657356023788452,,
,,35,40643,0.665769636631012,,
,,36,41772,0.6656660437583923,,
,,37,42901,0.6658591628074646,,
,,38,44030,0.6657057404518127,,
,,39,45159,0.6655863523483276,,
,,40,46288,0.6656952500343323,,
,,41,47417,0.6655915975570679,,
,,42,48546,0.6656907200813293,,
,,43,49675,0.6656328439712524,,
,,44,50804,0.6654832363128662,,
,,45,51933,0.6656175255775452,,
,,46,53062,0.6655165553092957,,
,,47,54191,0.6655886769294739,,
,,48,55320,0.6656906008720398,,
,,49,56449,,0.9071082472801208,0.8746678233146667
,,49,56449,0.6654869318008423,,
,,50,57578,0.6654499769210815,,
,,51,58707,0.6654597520828247,,
,,52,59836,0.6654084324836731,,
,,53,60965,0.6653240919113159,,
,,54,62094,0.66531902551651,,
,,55,63223,0.6651967167854309,,
,,56,64352,0.6652127504348755,,
,,57,65481,0.6651986241340637,,
,,58,66610,0.6651117205619812,,
,,59,67739,0.6650996208190918,,
,,60,68868,0.6649739146232605,,
,,61,69997,0.6650147438049316,,
,,62,71126,0.6647907495498657,,
,,63,72255,0.6648754477500916,,
,,64,73384,0.6648820042610168,,
,,65,74513,0.6649885177612305,,
,,66,75642,0.6650579571723938,,
,,67,76771,0.6648471355438232,,
,,68,77900,0.6648188829421997,,
,,69,79029,0.6647864580154419,,
,,70,80158,0.6646318435668945,,
,,71,81287,0.6648088097572327,,
,,72,82416,0.6646985411643982,,
,,73,83545,0.6646299362182617,,
,,74,84674,0.6647430658340454,,
,,75,85803,0.664730429649353,,
,,76,86932,0.6648673415184021,,
,,77,88061,0.664814829826355,,
,,78,89190,0.6647931933403015,,
,,79,90319,0.6647424101829529,,
,,80,91448,0.664824903011322,,
,,81,92577,0.6646417379379272,,
,,82,93706,0.6648184061050415,,
,,83,94835,0.664764404296875,,
,,84,95964,0.6648317575454712,,
,,85,97093,0.6645997166633606,,
,,86,98222,0.6645726561546326,,
,,87,99351,0.6645542979240417,,
,,88,100480,0.6646926403045654,,
,,89,101609,0.6645936965942383,,
,,90,102738,0.6645599603652954,,
,,91,103867,0.6645985841751099,,
,,92,104996,0.6646807193756104,,
,,93,106125,0.6645882725715637,,
,,94,107254,0.6649554967880249,,
,,95,108383,0.6647605299949646,,
,,96,109512,0.6645742058753967,,
,,97,110641,0.6646468043327332,,
,,98,111770,0.6643975973129272,,
,,99,112899,,0.9132999181747437,0.8826395273208618
,,99,112899,0.664450466632843,,
,,100,114028,0.6644571423530579,,
,,101,115157,0.6645821928977966,,
,,102,116286,0.6643510460853577,,
,,103,117415,0.6645493507385254,,
,,104,118544,0.664328932762146,,
,,105,119673,0.6644746661186218,,
,,106,120802,0.6644954085350037,,
,,107,121931,0.6644405126571655,,
,,108,123060,0.6643427014350891,,
,,109,124189,0.6644520163536072,,
,,110,125318,0.664415717124939,,
,,111,126447,0.6646135449409485,,
,,112,127576,0.6645183563232422,,
,,113,128705,0.6645119190216064,,
,,114,129834,0.6647565960884094,,
,,115,130963,0.6646329760551453,,
,,116,132092,0.6645395755767822,,
,,117,133221,0.6645206809043884,,
,,118,134350,0.6644018888473511,,
,,119,135479,0.6643658876419067,,
,,120,136608,0.6643986701965332,,
,,121,137737,0.6643275618553162,,
,,122,138866,0.6643326878547668,,
,,123,139995,0.6644546389579773,,
,,124,141124,0.6646401286125183,,
,,125,142253,0.6645185351371765,,
,,126,143382,0.6643902063369751,,
,,127,144511,0.664368212223053,,
,,128,145640,0.6642467975616455,,
,,129,146769,0.664334237575531,,
,,130,147898,0.664203941822052,,
,,131,149027,0.6644084453582764,,
,,132,150156,0.664283275604248,,
,,133,151285,0.664391815662384,,
,,134,152414,0.6644639372825623,,
,,135,153543,0.664634644985199,,
,,136,154672,0.6645083427429199,,
,,137,155801,0.6645415425300598,,
,,138,156930,0.6643384695053101,,
,,139,158059,0.6642768979072571,,
,,140,159188,0.6643837094306946,,
,,141,160317,0.6644799113273621,,
,,142,161446,0.6644273996353149,,
,,143,162575,0.6644006967544556,,
,,144,163704,0.664352536201477,,
,,145,164833,0.6643505096435547,,
,,146,165962,0.6642881035804749,,
,,147,167091,0.6642894148826599,,
,,148,168220,0.6643937826156616,,
,,149,169349,,0.9129515290260315,0.8835252523422241
,,149,169349,0.6643887758255005,,
,,150,170478,0.6643838286399841,,
,,151,171607,0.6642404198646545,,
,,152,172736,0.6642810106277466,,
,,153,173865,0.6643604040145874,,
,,154,174994,0.6641819477081299,,
,,155,176123,0.6643247008323669,,
,,156,177252,0.664416491985321,,
,,157,178381,0.6645243167877197,,
,,158,179510,0.6642929315567017,,
,,159,180639,0.6642792224884033,,
,,160,181768,0.6642150282859802,,
,,161,182897,0.6642993092536926,,
,,162,184026,0.66434645652771,,
,,163,185155,0.6643297076225281,,
,,164,186284,0.6641263365745544,,
,,165,187413,0.6642493605613708,,
,,166,188542,0.6640943884849548,,
,,167,189671,0.6641392111778259,,
,,168,190800,0.6642265915870667,,
,,169,191929,0.6642357707023621,,
,,170,193058,0.6641343832015991,,
,,171,194187,0.664271891117096,,
,,172,195316,0.66408771276474,,
,,173,196445,0.6640676259994507,,
,,174,197574,0.6640428900718689,,
,,175,198703,0.6642367839813232,,
,,176,199832,0.6641550660133362,,
,,177,200961,0.6641635298728943,,
,,178,202090,0.6640637516975403,,
,,179,203219,0.6641174554824829,,
,,180,204348,0.6641568541526794,,
,,181,205477,0.6641409993171692,,
,,182,206606,0.6641247868537903,,
,,183,207735,0.6640486121177673,,
,,184,208864,0.6640455722808838,,
,,185,209993,0.6641626954078674,,
,,186,211122,0.6642459630966187,,
,,187,212251,0.6642547249794006,,
,,188,213380,0.6640750765800476,,
,,189,214509,0.6640943884849548,,
,,190,215638,0.6639537811279297,,
,,191,216767,0.6641575694084167,,
,,192,217896,0.6644052863121033,,
,,193,219025,0.664146900177002,,
,,194,220154,0.6641365885734558,,
,,195,221283,0.6640430688858032,,
,,196,222412,0.6639829874038696,,
,,197,223541,0.6640660762786865,,
,,198,224670,0.6640903353691101,,
,,199,225799,,0.9124733209609985,0.8821966052055359
,,199,225799,0.6640689969062805,,
,,200,226928,0.6639676094055176,,
,,201,228057,0.6641740798950195,,
,,202,229186,0.664269208908081,,
,,203,230315,0.6641701459884644,,
,,204,231444,0.6643586158752441,,
,,205,232573,0.6644034385681152,,
,,206,233702,0.6641367673873901,,
,,207,234831,0.664271891117096,,
,,208,235960,0.6643128395080566,,
,,209,237089,0.6640939116477966,,
,,210,238218,0.6642605066299438,,
,,211,239347,0.6641541719436646,,
,,212,240476,0.6641294360160828,,
,,213,241605,0.6642117500305176,,
,,214,242734,0.6643111705780029,,
,,215,243863,0.6641807556152344,,
,,216,244992,0.6640239953994751,,
,,217,246121,0.6643274426460266,,
,,218,247250,0.6641534566879272,,
,,219,248379,0.6640934348106384,,
,,220,249508,0.6642146706581116,,
,,221,250637,0.6641677618026733,,
,,222,251766,0.6643226742744446,,
,,223,252895,0.6641770005226135,,
,,224,254024,0.6643283367156982,,
,,225,255153,0.6641510128974915,,
,,226,256282,0.6640724539756775,,
,,227,257411,0.6639566421508789,,
,,228,258540,0.6641766428947449,,
,,229,259669,0.6641923785209656,,
,,230,260798,0.6644420623779297,,
,,231,261927,0.6641464829444885,,
,,232,263056,0.6640570759773254,,
,,233,264185,0.6643187999725342,,
,,234,265314,0.6643255352973938,,
,,235,266443,0.6639062762260437,,
,,236,267572,0.6639595031738281,,
,,237,268701,0.6641614437103271,,
,,238,269830,0.6641489863395691,,
,,239,270959,0.6642453074455261,,
,,240,272088,0.6642255783081055,,
,,241,273217,0.6644354462623596,,
,,242,274346,0.6642509698867798,,
,,243,275475,0.6641126871109009,,
,,244,276604,0.6640217900276184,,
,,245,277733,0.6641529202461243,,
,,246,278862,0.6640693545341492,,
,,247,279991,0.6641396880149841,,
,,248,281120,0.6642069220542908,,
,,249,282249,,0.9072132706642151,0.8693534135818481
,,249,282249,0.6639639139175415,,
,,250,283378,0.6642019748687744,,
,,251,284507,0.663945734500885,,
,,252,285636,0.6641029119491577,,
,,253,286765,0.6640092730522156,,
,,254,287894,0.6640918254852295,,
,,255,289023,0.6639419198036194,,
,,256,290152,0.6644994616508484,,
,,257,291281,0.6642979979515076,,
,,258,292410,0.664103090763092,,
,,259,293539,0.664218008518219,,
,,260,294668,0.6641326546669006,,
,,261,295797,0.6639357209205627,,
,,262,296926,0.6641100645065308,,
,,263,298055,0.6643426418304443,,
,,264,299184,0.6641117930412292,,
,,265,300313,0.664095401763916,,
,,266,301442,0.6640545725822449,,
,,267,302571,0.6640706658363342,,
,,268,303700,0.6641445159912109,,
,,269,304829,0.6641348600387573,,
,,270,305958,0.6640171408653259,,
,,271,307087,0.6640750765800476,,
,,272,308216,0.6639148592948914,,
,,273,309345,0.6640937924385071,,
,,274,310474,0.6642150282859802,,
,,275,311603,0.6642541885375977,,
,,276,312732,0.6641488671302795,,
,,277,313861,0.6642016768455505,,
,,278,314990,0.6642102003097534,,
,,279,316119,0.6643833518028259,,
,,280,317248,0.664169192314148,,
,,281,318377,0.6642349362373352,,
,,282,319506,0.6641056537628174,,
,,283,320635,0.6642288565635681,,
,,284,321764,0.6642694473266602,,
,,285,322893,0.6642807722091675,,
,,286,324022,0.6639121770858765,,
,,287,325151,0.6639799475669861,,
,,288,326280,0.6642323136329651,,
,,289,327409,0.6640022993087769,,
,,290,328538,0.6641542911529541,,
,,291,329667,0.6643143892288208,,
,,292,330796,0.6641572713851929,,
,,293,331925,0.6640432476997375,,
,,294,333054,0.6640729904174805,,
,,295,334183,0.6643449664115906,,
,,296,335312,0.6640282273292542,,
,,297,336441,0.6640667915344238,,
,,298,337570,0.6639440655708313,,
,,299,338699,,0.9116678237915039,0.883082389831543
,,299,338699,0.6643499732017517,,
,,300,339828,0.6641464829444885,,
,,301,340957,0.6644545793533325,,
,,302,342086,0.6642069220542908,,
,,303,343215,0.6641194820404053,,
,,304,344344,0.6642144322395325,,
,,305,345473,0.6640126705169678,,
,,306,346602,0.6639971137046814,,
,,307,347731,0.6640985608100891,,
,,308,348860,0.6640017628669739,,
,,309,349989,0.6640864610671997,,
,,310,351118,0.664009153842926,,
