test_ndcg,test_precision,epoch,step,train_loss,validation_ndcg,validation_precision
0.43969106674194336,0.040707964450120926,0,0,,,
,,0,1128,1.9149798154830933,,
,,1,2257,1.9111123085021973,,
,,2,3386,1.9173840284347534,,
,,3,4515,1.9134457111358643,,
,,4,5644,1.9079746007919312,,
,,5,6773,1.8989266157150269,,
,,6,7902,1.905678629875183,,
,,7,9031,1.9029686450958252,,
,,8,10160,1.903598427772522,,
,,9,11289,1.901593804359436,,
,,10,12418,1.9093046188354492,,
,,11,13547,1.9059343338012695,,
,,12,14676,1.8987644910812378,,
,,13,15805,1.8984148502349854,,
,,14,16934,1.8990761041641235,,
,,15,18063,1.8996871709823608,,
,,16,19192,1.903540849685669,,
,,17,20321,1.9000117778778076,,
,,18,21450,1.897185206413269,,
,,19,22579,1.8993500471115112,,
,,20,23708,1.896485686302185,,
,,21,24837,1.9189567565917969,,
,,22,25966,1.9063682556152344,,
,,23,27095,1.896746039390564,,
,,24,28224,1.895979881286621,,
,,25,29353,1.8954176902770996,,
,,26,30482,1.8963265419006348,,
,,27,31611,1.8993260860443115,,
,,28,32740,1.8965165615081787,,
,,29,33869,1.8970887660980225,,
,,30,34998,1.9014439582824707,,
,,31,36127,1.9010741710662842,,
,,32,37256,1.8944696187973022,,
,,33,38385,1.9010157585144043,,
,,34,39514,1.8993898630142212,,
,,35,40643,1.900143027305603,,
,,36,41772,1.9064441919326782,,
,,37,42901,1.8959227800369263,,
,,38,44030,1.9000670909881592,,
,,39,45159,1.9041757583618164,,
,,40,46288,1.900944471359253,,
,,41,47417,1.9040594100952148,,
,,42,48546,1.8934623003005981,,
,,43,49675,1.8965733051300049,,
,,44,50804,1.9102916717529297,,
,,45,51933,1.9009487628936768,,
,,46,53062,1.9070004224777222,,
,,47,54191,1.9027667045593262,,
,,48,55320,1.8939722776412964,,
,,49,56449,,0.8898366093635559,0.8427812457084656
,,49,56449,1.8982552289962769,,
,,50,57578,1.8937441110610962,,
,,51,58707,1.8985309600830078,,
,,52,59836,1.8983230590820312,,
,,53,60965,1.900202751159668,,
,,54,62094,1.8983676433563232,,
,,55,63223,1.8991779088974,,
,,56,64352,1.8971067667007446,,
,,57,65481,1.8963457345962524,,
,,58,66610,1.8956565856933594,,
,,59,67739,1.8989629745483398,,
,,60,68868,1.898449182510376,,
,,61,69997,1.902841329574585,,
,,62,71126,1.8944525718688965,,
,,63,72255,1.8954652547836304,,
,,64,73384,1.8929314613342285,,
,,65,74513,1.8953561782836914,,
,,66,75642,1.8948224782943726,,
,,67,76771,1.8950331211090088,,
,,68,77900,1.898454189300537,,
,,69,79029,1.8948473930358887,,
,,70,80158,1.9005247354507446,,
,,71,81287,1.8999265432357788,,
,,72,82416,1.89791738986969,,
,,73,83545,1.89426589012146,,
,,74,84674,1.8920369148254395,,
,,75,85803,1.893502116203308,,
,,76,86932,1.893723964691162,,
,,77,88061,1.892510175704956,,
,,78,89190,1.899391531944275,,
,,79,90319,1.895181655883789,,
,,80,91448,1.8997743129730225,,
,,81,92577,1.9018363952636719,,
,,82,93706,1.8943288326263428,,
,,83,94835,1.8935438394546509,,
,,84,95964,1.8960540294647217,,
,,85,97093,1.896963357925415,,
,,86,98222,1.8969383239746094,,
,,87,99351,1.894562005996704,,
,,88,100480,1.8962957859039307,,
,,89,101609,1.8925800323486328,,
,,90,102738,1.8950015306472778,,
,,91,103867,1.8929005861282349,,
,,92,104996,1.8955330848693848,,
,,93,106125,1.8912960290908813,,
,,94,107254,1.8951587677001953,,
,,95,108383,1.8943500518798828,,
,,96,109512,1.8915393352508545,,
,,97,110641,1.894698143005371,,
,,98,111770,1.8951008319854736,,
,,99,112899,,0.8911147713661194,0.8436669707298279
,,99,112899,1.8942592144012451,,
,,100,114028,1.8958739042282104,,
,,101,115157,1.8923544883728027,,
,,102,116286,1.8945496082305908,,
,,103,117415,1.891868233680725,,
,,104,118544,1.8940953016281128,,
,,105,119673,1.8934518098831177,,
,,106,120802,1.8920133113861084,,
,,107,121931,1.8957314491271973,,
,,108,123060,1.8936699628829956,,
,,109,124189,1.8930045366287231,,
,,110,125318,1.8921663761138916,,
,,111,126447,1.8924455642700195,,
,,112,127576,1.8926440477371216,,
,,113,128705,1.8906546831130981,,
,,114,129834,1.8900519609451294,,
,,115,130963,1.8948798179626465,,
,,116,132092,1.8953843116760254,,
,,117,133221,1.8943134546279907,,
,,118,134350,1.899158000946045,,
,,119,135479,1.9005863666534424,,
,,120,136608,1.8959649801254272,,
,,121,137737,1.9003037214279175,,
,,122,138866,1.8963773250579834,,
,,123,139995,1.8968560695648193,,
,,124,141124,1.8967399597167969,,
,,125,142253,1.8978562355041504,,
,,126,143382,1.89702308177948,,
,,127,144511,1.9009965658187866,,
,,128,145640,1.8956600427627563,,
,,129,146769,1.8967883586883545,,
,,130,147898,1.8980517387390137,,
,,131,149027,1.8933879137039185,,
,,132,150156,1.8934587240219116,,
,,133,151285,1.8922799825668335,,
,,134,152414,1.8927195072174072,,
,,135,153543,1.898465633392334,,
,,136,154672,1.8934096097946167,,
,,137,155801,1.8945237398147583,,
,,138,156930,1.891823649406433,,
,,139,158059,1.890889286994934,,
,,140,159188,1.892320990562439,,
,,141,160317,1.8937406539916992,,
,,142,161446,1.891642689704895,,
,,143,162575,1.8943586349487305,,
,,144,163704,1.9070969820022583,,
,,145,164833,1.8955073356628418,,
,,146,165962,1.9086092710494995,,
,,147,167091,1.9007936716079712,,
,,148,168220,1.891792893409729,,
,,149,169349,,0.8938977718353271,0.851195752620697
,,149,169349,1.8913031816482544,,
,,150,170478,1.893039584159851,,
,,151,171607,1.8929170370101929,,
,,152,172736,1.896937608718872,,
,,153,173865,1.8971350193023682,,
,,154,174994,1.8963594436645508,,
,,155,176123,1.899694800376892,,
,,156,177252,1.909395456314087,,
,,157,178381,1.8994249105453491,,
,,158,179510,1.897003412246704,,
