test_ndcg,test_precision,epoch,step,train_loss,validation_ndcg,validation_precision
0.5257446765899658,0.18141593039035797,0,0,,,
,,0,1128,1.9394769668579102,,
,,1,2257,1.8896763324737549,,
,,2,3386,1.8862684965133667,,
,,3,4515,1.885238766670227,,
,,4,5644,1.8835557699203491,,
,,5,6773,1.8828191757202148,,
,,6,7902,1.8819421529769897,,
,,7,9031,1.8806297779083252,,
,,8,10160,1.8800971508026123,,
,,9,11289,1.8797178268432617,,
,,10,12418,1.8793151378631592,,
,,11,13547,1.8775303363800049,,
,,12,14676,1.8785696029663086,,
,,13,15805,1.8783371448516846,,
,,14,16934,1.877881407737732,,
,,15,18063,1.8777889013290405,,
,,16,19192,1.8765628337860107,,
,,17,20321,1.8767900466918945,,
,,18,21450,1.8765732049942017,,
,,19,22579,1.876513957977295,,
,,20,23708,1.8748618364334106,,
,,21,24837,1.8616658449172974,,
,,22,25966,1.8579847812652588,,
,,23,27095,1.855689287185669,,
,,24,28224,1.854271411895752,,
,,25,29353,1.8529895544052124,,
,,26,30482,1.8527085781097412,,
,,27,31611,1.851805567741394,,
,,28,32740,1.8517497777938843,,
,,29,33869,1.8504687547683716,,
,,30,34998,1.8503223657608032,,
,,31,36127,1.8502507209777832,,
,,32,37256,1.850332498550415,,
,,33,38385,1.849813461303711,,
,,34,39514,1.8505973815917969,,
,,35,40643,1.8491286039352417,,
,,36,41772,1.8486509323120117,,
,,37,42901,1.848645806312561,,
,,38,44030,1.8489450216293335,,
,,39,45159,1.8490111827850342,,
,,40,46288,1.8482322692871094,,
,,41,47417,1.84739089012146,,
,,42,48546,1.8478151559829712,,
,,43,49675,1.8475598096847534,,
,,44,50804,1.8474878072738647,,
,,45,51933,1.847463607788086,,
,,46,53062,1.8468390703201294,,
,,47,54191,1.8476780652999878,,
,,48,55320,1.8479580879211426,,
,,49,56449,,0.9071089029312134,0.8821966052055359
,,49,56449,1.8462443351745605,,
,,50,57578,1.846497654914856,,
,,51,58707,1.8466042280197144,,
,,52,59836,1.845711588859558,,
,,53,60965,1.846944808959961,,
,,54,62094,1.8465120792388916,,
,,55,63223,1.846431851387024,,
,,56,64352,1.8455281257629395,,
,,57,65481,1.846404790878296,,
,,58,66610,1.846195936203003,,
,,59,67739,1.8465594053268433,,
,,60,68868,1.8458151817321777,,
,,61,69997,1.8466860055923462,,
,,62,71126,1.8455954790115356,,
,,63,72255,1.8451356887817383,,
,,64,73384,1.845689296722412,,
,,65,74513,1.8452926874160767,,
,,66,75642,1.8457286357879639,,
,,67,76771,1.8460224866867065,,
,,68,77900,1.8462731838226318,,
,,69,79029,1.8453248739242554,,
,,70,80158,1.845034122467041,,
,,71,81287,1.8455711603164673,,
,,72,82416,1.8455214500427246,,
,,73,83545,1.8456920385360718,,
,,74,84674,1.8454053401947021,,
,,75,85803,1.8455859422683716,,
,,76,86932,1.8452982902526855,,
,,77,88061,1.8453630208969116,,
,,78,89190,1.8449677228927612,,
,,79,90319,1.8447695970535278,,
,,80,91448,1.844907522201538,,
,,81,92577,1.844197392463684,,
,,82,93706,1.8454595804214478,,
,,83,94835,1.8448666334152222,,
,,84,95964,1.8445860147476196,,
,,85,97093,1.844252586364746,,
,,86,98222,1.8450852632522583,,
,,87,99351,1.844483733177185,,
,,88,100480,1.8439861536026,,
,,89,101609,1.8453134298324585,,
,,90,102738,1.8450098037719727,,
,,91,103867,1.84368896484375,,
,,92,104996,1.8448076248168945,,
,,93,106125,1.8445073366165161,,
,,94,107254,1.8441829681396484,,
,,95,108383,1.8443187475204468,,
,,96,109512,1.8450394868850708,,
,,97,110641,1.8446850776672363,,
,,98,111770,1.8446930646896362,,
,,99,112899,,0.9080554246902466,0.8799822926521301
,,99,112899,1.8448091745376587,,
,,100,114028,1.843720555305481,,
,,101,115157,1.8443652391433716,,
,,102,116286,1.8444478511810303,,
,,103,117415,1.8446662425994873,,
,,104,118544,1.8437843322753906,,
,,105,119673,1.8442071676254272,,
,,106,120802,1.844245195388794,,
,,107,121931,1.8432385921478271,,
,,108,123060,1.845278024673462,,
,,109,124189,1.844974398612976,,
,,110,125318,1.8429208993911743,,
,,111,126447,1.8437824249267578,,
,,112,127576,1.844709873199463,,
,,113,128705,1.8434035778045654,,
,,114,129834,1.8438010215759277,,
